2023-06-15,"['USDC-USDT', 'FIS', 'XMR-USDT', 'GAL-USDT', 'PHA', 'CELR-USDT']"
2023-06-16,"['USDC-USDT', 'FIS', 'XMR-USDT', 'GAL-USDT', 'PHA', 'CELR-USDT']"
2023-06-17,"['USDC-USDT', 'FIS', 'XMR-USDT', 'GAL-USDT', 'PHA', 'CELR-USDT']"
2023-06-18,"['USDC-USDT', 'FIS', 'XMR-USDT', 'GAL-USDT', 'PHA', 'CELR-USDT']"
2023-06-19,"['USDC-USDT', 'FIS', 'XMR-USDT', 'GAL-USDT', 'PHA', 'CELR-USDT']"
2023-06-20,"['USDC-USDT', 'FIS', 'XMR-USDT', 'GAL-USDT', 'PHA', 'CELR-USDT']"
2023-06-21,"['USDC-USDT', 'FIS', 'XMR-USDT', 'GAL-USDT', 'PHA', 'CELR-USDT']"
2023-06-22,"['USDC-USDT', 'FIS', 'XMR-USDT', 'GAL-USDT', 'PHA', 'CELR-USDT']"
2023-06-23,"['USDC-USDT', 'SUSHI', 'DAR', 'XMR-USDT', 'GAL-USDT', 'PHA']"
2023-06-24,"['USDC-USDT', 'SUSHI', 'DAR', 'XMR-USDT', 'GAL-USDT', 'PHA']"
